"location_code","year","cause_name","metric","age","sex_name","mean"
"AFG",1996,"Tuberculosis","deaths","All Ages","Female",9186.5
"AFG",1996,"HIV/AIDS","deaths","All Ages","Male",56.1
"AFG",1996,"HIV/AIDS","deaths","All Ages","Female",18.3
"AFG",1996,"Diarrheal diseases","deaths","All Ages","Male",14369.6
"AFG",1996,"Diarrheal diseases","deaths","All Ages","Female",15471.5
"AFG",1996,"Lower respiratory infections","deaths","All Ages","Male",16204.4
"AFG",1996,"Lower respiratory infections","deaths","All Ages","Female",15704.8
"AFG",1996,"Malaria","deaths","All Ages","Male",482
"AFG",1996,"Malaria","deaths","All Ages","Female",990.5
"AFG",1997,"Tuberculosis","deaths","All Ages","Male",2872.7
"AFG",1997,"Tuberculosis","deaths","All Ages","Female",9362.3
"AFG",1997,"HIV/AIDS","deaths","All Ages","Male",58.8
"AFG",1997,"HIV/AIDS","deaths","All Ages","Female",19.5
"AFG",1997,"Diarrheal diseases","deaths","All Ages","Male",15152.7
"AFG",1997,"Diarrheal diseases","deaths","All Ages","Female",16196
"AFG",1997,"Lower respiratory infections","deaths","All Ages","Male",16716.6
"AFG",1997,"Lower respiratory infections","deaths","All Ages","Female",16175.7
"AFG",1997,"Malaria","deaths","All Ages","Male",500.7
"AFG",1997,"Malaria","deaths","All Ages","Female",1046.7
"AFG",1998,"Tuberculosis","deaths","All Ages","Male",2854.2
"AFG",1998,"Tuberculosis","deaths","All Ages","Female",9364.4
"AFG",1998,"HIV/AIDS","deaths","All Ages","Male",60.5
"AFG",1998,"HIV/AIDS","deaths","All Ages","Female",20.6
"AFG",1998,"Diarrheal diseases","deaths","All Ages","Male",15403.5
"AFG",1998,"Diarrheal diseases","deaths","All Ages","Female",16430.8
"AFG",1998,"Lower respiratory infections","deaths","All Ages","Male",17054.2
"AFG",1998,"Lower respiratory infections","deaths","All Ages","Female",16544.4
"AFG",1998,"Malaria","deaths","All Ages","Male",489.5
"AFG",1998,"Malaria","deaths","All Ages","Female",1078
"AFG",1999,"Tuberculosis","deaths","All Ages","Male",2852.3
"AFG",1999,"Tuberculosis","deaths","All Ages","Female",9366.2
"AFG",1999,"HIV/AIDS","deaths","All Ages","Male",62.1
"AFG",1999,"HIV/AIDS","deaths","All Ages","Female",21.5
"AFG",1999,"Diarrheal diseases","deaths","All Ages","Male",15487
"AFG",1999,"Diarrheal diseases","deaths","All Ages","Female",16484.8
"AFG",1999,"Lower respiratory infections","deaths","All Ages","Male",17295.7
"AFG",1999,"Lower respiratory infections","deaths","All Ages","Female",16869.4
"AFG",1999,"Malaria","deaths","All Ages","Male",472.4
"AFG",1999,"Malaria","deaths","All Ages","Female",1106.1
"AFG",2000,"Tuberculosis","deaths","All Ages","Male",2886.9
"AFG",2000,"Tuberculosis","deaths","All Ages","Female",9446.6
"AFG",2000,"HIV/AIDS","deaths","All Ages","Male",64
"AFG",2000,"HIV/AIDS","deaths","All Ages","Female",22.7
"AFG",2000,"Diarrheal diseases","deaths","All Ages","Male",15399.6
"AFG",2000,"Diarrheal diseases","deaths","All Ages","Female",16352.8
"AFG",2000,"Lower respiratory infections","deaths","All Ages","Male",17515.4
"AFG",2000,"Lower respiratory infections","deaths","All Ages","Female",17020
"AFG",2000,"Malaria","deaths","All Ages","Male",469.9
"AFG",2000,"Malaria","deaths","All Ages","Female",1127.1
"AFG",2001,"Tuberculosis","deaths","All Ages","Male",2937.8
"AFG",2001,"Tuberculosis","deaths","All Ages","Female",9538.8
"AFG",2001,"HIV/AIDS","deaths","All Ages","Male",66.1
"AFG",2001,"HIV/AIDS","deaths","All Ages","Female",23.6
"AFG",2001,"Diarrheal diseases","deaths","All Ages","Male",15037.6
"AFG",2001,"Diarrheal diseases","deaths","All Ages","Female",16039.6
"AFG",2001,"Lower respiratory infections","deaths","All Ages","Male",17690
"AFG",2001,"Lower respiratory infections","deaths","All Ages","Female",17193.5
"AFG",2001,"Malaria","deaths","All Ages","Male",476.5
"AFG",2001,"Malaria","deaths","All Ages","Female",1149.9
"AFG",2002,"Tuberculosis","deaths","All Ages","Male",2928.1
"AFG",2002,"Tuberculosis","deaths","All Ages","Female",9403.9
"AFG",2002,"HIV/AIDS","deaths","All Ages","Male",68.7
"AFG",2002,"HIV/AIDS","deaths","All Ages","Female",24.7
"AFG",2002,"Diarrheal diseases","deaths","All Ages","Male",14110.7
"AFG",2002,"Diarrheal diseases","deaths","All Ages","Female",15093.3
"AFG",2002,"Lower respiratory infections","deaths","All Ages","Male",17841.7
"AFG",2002,"Lower respiratory infections","deaths","All Ages","Female",17251.7
"AFG",2002,"Malaria","deaths","All Ages","Male",487.7
"AFG",2002,"Malaria","deaths","All Ages","Female",1166.2
"AFG",2003,"Tuberculosis","deaths","All Ages","Male",3016.7
"AFG",2003,"Tuberculosis","deaths","All Ages","Female",9592.6
"AFG",2003,"HIV/AIDS","deaths","All Ages","Male",71.7
"AFG",2003,"HIV/AIDS","deaths","All Ages","Female",26.1
"AFG",2003,"Diarrheal diseases","deaths","All Ages","Male",14675.3
"AFG",2003,"Diarrheal diseases","deaths","All Ages","Female",15648.8
"AFG",2003,"Lower respiratory infections","deaths","All Ages","Male",19708.4
"AFG",2003,"Lower respiratory infections","deaths","All Ages","Female",19123.9
"AFG",2003,"Malaria","deaths","All Ages","Male",523
"AFG",2003,"Malaria","deaths","All Ages","Female",1313.3
"AFG",2004,"Tuberculosis","deaths","All Ages","Male",3007.9
"AFG",2004,"Tuberculosis","deaths","All Ages","Female",9317.4
"AFG",2004,"HIV/AIDS","deaths","All Ages","Male",74.6
"AFG",2004,"HIV/AIDS","deaths","All Ages","Female",27.9
"AFG",2004,"Diarrheal diseases","deaths","All Ages","Male",13675.6
"AFG",2004,"Diarrheal diseases","deaths","All Ages","Female",14779.9
"AFG",2004,"Lower respiratory infections","deaths","All Ages","Male",20301.1
"AFG",2004,"Lower respiratory infections","deaths","All Ages","Female",19766.4
"AFG",2004,"Malaria","deaths","All Ages","Male",538
"AFG",2004,"Malaria","deaths","All Ages","Female",1370.4
"AFG",2005,"Tuberculosis","deaths","All Ages","Male",2985.4
"AFG",2005,"Tuberculosis","deaths","All Ages","Female",8994.8
"AFG",2005,"HIV/AIDS","deaths","All Ages","Male",77.9
"AFG",2005,"HIV/AIDS","deaths","All Ages","Female",29.8
"AFG",2005,"Diarrheal diseases","deaths","All Ages","Male",12043.6
"AFG",2005,"Diarrheal diseases","deaths","All Ages","Female",13158.4
"AFG",2005,"Lower respiratory infections","deaths","All Ages","Male",20260.1
"AFG",2005,"Lower respiratory infections","deaths","All Ages","Female",19705.9
"AFG",2005,"Malaria","deaths","All Ages","Male",535.8
"AFG",2005,"Malaria","deaths","All Ages","Female",1380
"AFG",2006,"Tuberculosis","deaths","All Ages","Male",2942.8
"AFG",2006,"Tuberculosis","deaths","All Ages","Female",8626.7
"AFG",2006,"HIV/AIDS","deaths","All Ages","Male",81.8
"AFG",2006,"HIV/AIDS","deaths","All Ages","Female",31.7
"AFG",2006,"Diarrheal diseases","deaths","All Ages","Male",10851.8
"AFG",2006,"Diarrheal diseases","deaths","All Ages","Female",12146.8
"AFG",2006,"Lower respiratory infections","deaths","All Ages","Male",19802.8
"AFG",2006,"Lower respiratory infections","deaths","All Ages","Female",19344.7
"AFG",2006,"Malaria","deaths","All Ages","Male",529.7
"AFG",2006,"Malaria","deaths","All Ages","Female",1367
"AFG",2007,"Tuberculosis","deaths","All Ages","Male",2869.4
"AFG",2007,"Tuberculosis","deaths","All Ages","Female",8158.2
"AFG",2007,"HIV/AIDS","deaths","All Ages","Male",86.4
"AFG",2007,"HIV/AIDS","deaths","All Ages","Female",34.1
"AFG",2007,"Diarrheal diseases","deaths","All Ages","Male",9741.6
"AFG",2007,"Diarrheal diseases","deaths","All Ages","Female",11169.6
"AFG",2007,"Lower respiratory infections","deaths","All Ages","Male",19194.3
"AFG",2007,"Lower respiratory infections","deaths","All Ages","Female",18859.1
"AFG",2007,"Malaria","deaths","All Ages","Male",492.6
"AFG",2007,"Malaria","deaths","All Ages","Female",1338.9
"AFG",2008,"Tuberculosis","deaths","All Ages","Male",2791.5
"AFG",2008,"Tuberculosis","deaths","All Ages","Female",7774
"AFG",2008,"HIV/AIDS","deaths","All Ages","Male",91.7
"AFG",2008,"HIV/AIDS","deaths","All Ages","Female",36.8
"AFG",2008,"Diarrheal diseases","deaths","All Ages","Male",8617
"AFG",2008,"Diarrheal diseases","deaths","All Ages","Female",10148.3
"AFG",2008,"Lower respiratory infections","deaths","All Ages","Male",18309.4
"AFG",2008,"Lower respiratory infections","deaths","All Ages","Female",18030.5
"AFG",2008,"Malaria","deaths","All Ages","Male",471.9
"AFG",2008,"Malaria","deaths","All Ages","Female",1301.4
"AFG",2009,"Tuberculosis","deaths","All Ages","Male",2696
"AFG",2009,"Tuberculosis","deaths","All Ages","Female",7269.5
"AFG",2009,"HIV/AIDS","deaths","All Ages","Male",97.8
"AFG",2009,"HIV/AIDS","deaths","All Ages","Female",40.2
"AFG",2009,"Diarrheal diseases","deaths","All Ages","Male",7754.2
"AFG",2009,"Diarrheal diseases","deaths","All Ages","Female",9341.4
"AFG",2009,"Lower respiratory infections","deaths","All Ages","Male",17343.4
"AFG",2009,"Lower respiratory infections","deaths","All Ages","Female",17141.6
"AFG",2009,"Malaria","deaths","All Ages","Male",475.3
"AFG",2009,"Malaria","deaths","All Ages","Female",1271.4
"AFG",2010,"Tuberculosis","deaths","All Ages","Male",2628.1
"AFG",2010,"Tuberculosis","deaths","All Ages","Female",6930.8
"AFG",2010,"HIV/AIDS","deaths","All Ages","Male",103.1
"AFG",2010,"HIV/AIDS","deaths","All Ages","Female",43.6
"AFG",2010,"Diarrheal diseases","deaths","All Ages","Male",7356.8
"AFG",2010,"Diarrheal diseases","deaths","All Ages","Female",9027.6
"AFG",2010,"Lower respiratory infections","deaths","All Ages","Male",16959.8
"AFG",2010,"Lower respiratory infections","deaths","All Ages","Female",16870.2
"AFG",2010,"Malaria","deaths","All Ages","Male",451.4
"AFG",2010,"Malaria","deaths","All Ages","Female",1281.9
"AFG",2011,"Tuberculosis","deaths","All Ages","Male",2577.2
"AFG",2011,"Tuberculosis","deaths","All Ages","Female",6679
"AFG",2011,"HIV/AIDS","deaths","All Ages","Male",108
"AFG",2011,"HIV/AIDS","deaths","All Ages","Female",46.4
"AFG",2011,"Diarrheal diseases","deaths","All Ages","Male",6641.9
"AFG",2011,"Diarrheal diseases","deaths","All Ages","Female",8225.5
"AFG",2011,"Lower respiratory infections","deaths","All Ages","Male",16246.6
"AFG",2011,"Lower respiratory infections","deaths","All Ages","Female",16130.1
"AFG",2011,"Malaria","deaths","All Ages","Male",448.5
"AFG",2011,"Malaria","deaths","All Ages","Female",1278.2
"AFG",2012,"Tuberculosis","deaths","All Ages","Male",2588.1
"AFG",2012,"Tuberculosis","deaths","All Ages","Female",6606.2
"AFG",2012,"HIV/AIDS","deaths","All Ages","Male",115.6
"AFG",2012,"HIV/AIDS","deaths","All Ages","Female",50.5
"AFG",2012,"Diarrheal diseases","deaths","All Ages","Male",6211.2
"AFG",2012,"Diarrheal diseases","deaths","All Ages","Female",7730.3
"AFG",2012,"Lower respiratory infections","deaths","All Ages","Male",15633.5
"AFG",2012,"Lower respiratory infections","deaths","All Ages","Female",15549.5
"AFG",2012,"Malaria","deaths","All Ages","Male",438.4
"AFG",2012,"Malaria","deaths","All Ages","Female",1257.1
"AFG",2013,"Tuberculosis","deaths","All Ages","Male",2630.4
"AFG",2013,"Tuberculosis","deaths","All Ages","Female",6599.2
"AFG",2013,"HIV/AIDS","deaths","All Ages","Male",125.4
"AFG",2013,"HIV/AIDS","deaths","All Ages","Female",55.7
"AFG",2013,"Diarrheal diseases","deaths","All Ages","Male",6150
"AFG",2013,"Diarrheal diseases","deaths","All Ages","Female",7630.7
"AFG",2013,"Lower respiratory infections","deaths","All Ages","Male",15599.5
"AFG",2013,"Lower respiratory infections","deaths","All Ages","Female",15539.7
"AFG",2013,"Malaria","deaths","All Ages","Male",436
"AFG",2013,"Malaria","deaths","All Ages","Female",1286.9
"AFG",1990,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Males",102741.9
"AFG",1990,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Females",319102.7
"AFG",1990,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Both sexes",421844.6
"AFG",1990,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Males",1008.6
"AFG",1990,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Females",302.7
"AFG",1990,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Both sexes",1311.3
"AFG",1990,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Males",866001.3
"AFG",1990,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Females",913962.4
"AFG",1990,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Both sexes",1779963.8
"AFG",1990,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Males",1075233.3
"AFG",1990,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Females",1025105.1
"AFG",1990,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Both sexes",2100338.3
"AFG",1990,"Malaria","YLLs (Years of Life Lost)","All Ages","Males",21376.7
"AFG",1990,"Malaria","YLLs (Years of Life Lost)","All Ages","Females",45470.9
"AFG",1990,"Malaria","YLLs (Years of Life Lost)","All Ages","Both sexes",66847.5
"AFG",1995,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Males",145564.6
"AFG",1995,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Females",444780.5
"AFG",1995,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Both sexes",590345.1
"AFG",1995,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Males",2610.4
"AFG",1995,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Females",808.5
"AFG",1995,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Both sexes",3418.9
"AFG",1995,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Males",1135463.1
"AFG",1995,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Females",1161347.8
"AFG",1995,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Both sexes",2296811
"AFG",1995,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Males",1227537
"AFG",1995,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Females",1173809.6
"AFG",1995,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Both sexes",2401346.5
"AFG",1995,"Malaria","YLLs (Years of Life Lost)","All Ages","Males",30349.6
"AFG",1995,"Malaria","YLLs (Years of Life Lost)","All Ages","Females",63011.7
"AFG",1995,"Malaria","YLLs (Years of Life Lost)","All Ages","Both sexes",93361.3
"AFG",2000,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Males",152793.4
"AFG",2000,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Females",469288.3
"AFG",2000,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Both sexes",622081.7
"AFG",2000,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Males",3094.6
"AFG",2000,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Females",1109.7
"AFG",2000,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Both sexes",4204.3
"AFG",2000,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Males",1288230.8
"AFG",2000,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Females",1302009.5
"AFG",2000,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Both sexes",2590240.3
"AFG",2000,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Males",1362551.3
"AFG",2000,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Females",1308779.8
"AFG",2000,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Both sexes",2671331
"AFG",2000,"Malaria","YLLs (Years of Life Lost)","All Ages","Males",30918.9
"AFG",2000,"Malaria","YLLs (Years of Life Lost)","All Ages","Females",77077.3
"AFG",2000,"Malaria","YLLs (Years of Life Lost)","All Ages","Both sexes",107996.3
"AFG",2005,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Males",158742.1
"AFG",2005,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Females",448137.4
"AFG",2005,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Both sexes",606879.6
"AFG",2005,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Males",3566.1
"AFG",2005,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Females",1411.4
"AFG",2005,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Both sexes",4977.5
"AFG",2005,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Males",1009221.5
"AFG",2005,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Females",1055674.9
"AFG",2005,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Both sexes",2064896.4
"AFG",2005,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Males",1568369.6
"AFG",2005,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Females",1507138.6
"AFG",2005,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Both sexes",3075508.3
"AFG",2005,"Malaria","YLLs (Years of Life Lost)","All Ages","Males",35156.3
"AFG",2005,"Malaria","YLLs (Years of Life Lost)","All Ages","Females",96190.5
"AFG",2005,"Malaria","YLLs (Years of Life Lost)","All Ages","Both sexes",131346.8
"AFG",2010,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Males",134399.3
"AFG",2010,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Females",332347.4
"AFG",2010,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Both sexes",466746.7
"AFG",2010,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Males",4677.7
"AFG",2010,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Females",2007
"AFG",2010,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Both sexes",6684.7
"AFG",2010,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Males",611555
"AFG",2010,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Females",707108.4
"AFG",2010,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Both sexes",1318663.4
"AFG",2010,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Males",1271344.8
"AFG",2010,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Females",1250564.1
"AFG",2010,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Both sexes",2521909
"AFG",2010,"Malaria","YLLs (Years of Life Lost)","All Ages","Males",28693.5
"AFG",2010,"Malaria","YLLs (Years of Life Lost)","All Ages","Females",86475.4
"AFG",2010,"Malaria","YLLs (Years of Life Lost)","All Ages","Both sexes",115168.9
"AFG",2013,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Males",131665.6
"AFG",2013,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Females",310893.7
"AFG",2013,"Tuberculosis","YLLs (Years of Life Lost)","All Ages","Both sexes",442559.3
"AFG",2013,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Males",5658.9
"AFG",2013,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Females",2469.7
"AFG",2013,"HIV/AIDS","YLLs (Years of Life Lost)","All Ages","Both sexes",8128.6
"AFG",2013,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Males",509941.9
"AFG",2013,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Females",594973.7
"AFG",2013,"Diarrheal diseases","YLLs (Years of Life Lost)","All Ages","Both sexes",1104915.6
"AFG",2013,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Males",1143552
"AFG",2013,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Females",1124662.4
"AFG",2013,"Lower respiratory infections","YLLs (Years of Life Lost)","All Ages","Both sexes",2268214.5
"AFG",2013,"Malaria","YLLs (Years of Life Lost)","All Ages","Males",27312.9
"AFG",2013,"Malaria","YLLs (Years of Life Lost)","All Ages","Females",84887.2
"AFG",2013,"Malaria","YLLs (Years of Life Lost)","All Ages","Both sexes",112200.1
"AGO",1990,"Tuberculosis","deaths","All Ages","Male",6205.7
"AGO",1990,"Tuberculosis","deaths","All Ages","Female",5785.8
"AGO",1990,"HIV/AIDS","deaths","All Ages","Male",819
"AGO",1990,"HIV/AIDS","deaths","All Ages","Female",324.1
"AGO",1990,"Diarrheal diseases","deaths","All Ages","Male",14681.4
"AGO",1990,"Diarrheal diseases","deaths","All Ages","Female",11458.8
"AGO",1990,"Lower respiratory infections","deaths","All Ages","Male",10776
"AGO",1990,"Lower respiratory infections","deaths","All Ages","Female",10452
"AGO",1990,"Malaria","deaths","All Ages","Male",4820.3
"AGO",1990,"Malaria","deaths","All Ages","Female",3682.6
"AGO",1991,"Tuberculosis","deaths","All Ages","Male",6221.3
"AGO",1991,"Tuberculosis","deaths","All Ages","Female",5858.1
"AGO",1991,"HIV/AIDS","deaths","All Ages","Male",1038.1
"AGO",1991,"HIV/AIDS","deaths","All Ages","Female",456.6
"AGO",1991,"Diarrheal diseases","deaths","All Ages","Male",14629.4
"AGO",1991,"Diarrheal diseases","deaths","All Ages","Female",11518.1
"AGO",1991,"Lower respiratory infections","deaths","All Ages","Male",10865.4
"AGO",1991,"Lower respiratory infections","deaths","All Ages","Female",10534.2
"AGO",1991,"Malaria","deaths","All Ages","Male",5237.3
"AGO",1991,"Malaria","deaths","All Ages","Female",4050.2
"AGO",1992,"Tuberculosis","deaths","All Ages","Male",6218.6
"AGO",1992,"Tuberculosis","deaths","All Ages","Female",5919.4
"AGO",1992,"HIV/AIDS","deaths","All Ages","Male",1301.5
"AGO",1992,"HIV/AIDS","deaths","All Ages","Female",631
"AGO",1992,"Diarrheal diseases","deaths","All Ages","Male",14672.3
"AGO",1992,"Diarrheal diseases","deaths","All Ages","Female",11655.3
"AGO",1992,"Lower respiratory infections","deaths","All Ages","Male",10884.3
"AGO",1992,"Lower respiratory infections","deaths","All Ages","Female",10630.8
"AGO",1992,"Malaria","deaths","All Ages","Male",5549.7
"AGO",1992,"Malaria","deaths","All Ages","Female",4417.6
"AGO",1993,"Tuberculosis","deaths","All Ages","Male",6387.8
"AGO",1993,"Tuberculosis","deaths","All Ages","Female",6116
"AGO",1993,"HIV/AIDS","deaths","All Ages","Male",1622.7
"AGO",1993,"HIV/AIDS","deaths","All Ages","Female",858.7
"AGO",1993,"Diarrheal diseases","deaths","All Ages","Male",15100.4
"AGO",1993,"Diarrheal diseases","deaths","All Ages","Female",12136
"AGO",1993,"Lower respiratory infections","deaths","All Ages","Male",11004.8
"AGO",1993,"Lower respiratory infections","deaths","All Ages","Female",10759.7
"AGO",1993,"Malaria","deaths","All Ages","Male",5874.7
"AGO",1993,"Malaria","deaths","All Ages","Female",4727.8
"AGO",1994,"Tuberculosis","deaths","All Ages","Male",6643.6
"AGO",1994,"Tuberculosis","deaths","All Ages","Female",6332.9
"AGO",1994,"HIV/AIDS","deaths","All Ages","Male",1984.2
"AGO",1994,"HIV/AIDS","deaths","All Ages","Female",1133.1
"AGO",1994,"Diarrheal diseases","deaths","All Ages","Male",15595.7
"AGO",1994,"Diarrheal diseases","deaths","All Ages","Female",12681.2
"AGO",1994,"Lower respiratory infections","deaths","All Ages","Male",11160.8
