"cluster","variablename","mean.banded","rank","type","degree","colour"
"E","Resource Rent Dependence (R)",0.00438481560430486,"2","Risks",NA,"Brown"
"E","Socio-Economic Vulnerability (R)",0.0893719806763285,"1","Risks","*","Brown"
"E","Unemployment Rate (R)",0.444925223947236,"2","Risks",NA,"Brown"
"E","Women in Labour Force (C)",0.514675052410902,"2","Coping Capacity",NA,"Brown"
"F","Aid Dependency (R)",0,"2","Risks",NA,"Grey"
"F","Education (C)",0.0981809913597089,"1","Coping Capacity","*","Grey"
"F","Food Security (C)",0.134057971014493,"2","Coping Capacity",NA,"Grey"
"F","GDP Growth Rate (R)",0.256006737232336,"2","Risks",NA,"Grey"
"F","General government gross debt (R)",0.231173068067483,"2","Risks",NA,"Grey"
"F","Males in Labour Force (C)",0.53360768175583,"2","Coping Capacity",NA,"Grey"
"F","NEET (R)",0.185215898928886,"2","Risks",NA,"Grey"
"F","Regulatory Quality (C)",0.165388123232748,"1","Coping Capacity","*","Grey"
"F","Remoteness (C)",0.0413885061463857,"1","Coping Capacity","*","Grey"
"F","Resource Rent Dependence (R)",0.0145475588005559,"2","Risks",NA,"Grey"
"F","Socio-Economic Vulnerability (R)",0.0503623188405797,"1","Risks","*","Grey"
"F","Unemployment Rate (R)",0.187626737512266,"2","Risks",NA,"Grey"
"F","Women in Labour Force (C)",0.418194070080863,"2","Coping Capacity",NA,"Grey"
